Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Resident Evil 7 Biohazard	418370	Action, Adventure	Horror, Survival Horror, First-Person, Singleplayer, Gore, Atmospheric, Zombies, VR, Psychological Horror, Action, Violent, Survival, Puzzle, Story Rich, Adventure, Multiplayer, FPS, Exploration, Shooter, Classic	97846	95.3	9.42	9	28	58	26.18 ± 28.22	1.8	15.52	2020-03-28	2022-01-22	2022-11-04	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	23-Jan-2017	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460, 2.70GHz or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 460DirectX: Version 12Storage: 24 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: Hardware specification target 1080P\/30FPS. May require reduction in Texture Quality settings or turning Texture streaming to OFF due to high VRAM requirements. *Internet connection required for game activation. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7 3770 3.4GHz  or AMD equivalent or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 with 3GB VRAMDirectX: Version 12Storage: 24 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: Hardware specification target 1080P\/60FPS. *Internet connection required for game activation.
Deponia	214340	Adventure, Indie	Adventure, Point & Click, Comedy, Puzzle, Singleplayer, Funny, Indie, Story Rich, 2D, Dark Humor, Great Soundtrack, Hand-drawn, Escape Room, Steampunk, Classic, Retro, Sci-fi, Dystopian , Hidden Object, Cult Classic	12075	87	9.3	8	10	19	32.22 ± 19.72	5.6	63.16	2015-05-24	2015-08-28	2025-05-12	Daedalic Entertainment	Daedalic Entertainment	06-Aug-2012	NA	OS *:Windows Vista\/7 Processor:2.5 GHz (Single Core) or 2 GHz (Dual Core) Memory:2 GB RAM Graphics:OpenGL 2.0 compatible with 512 MB RAM (Shared Memory is not recommended) DirectX®:9.0c Hard Drive:5 GB HDD space Sound:DirectX compatible 	OS *:Windows Vista\/7 Processor:2.5 GHz (Single Core) or 2 GHz (Dual Core) Memory:4 GB RAM Graphics:OpenGL 2.0 compatible with 512 MB RAM (Shared Memory is not recommended) DirectX®:9.0c Hard Drive:5 GB HDD space Sound:DirectX compatible
God Mode	227480	Action	Action, Co-op, Multiplayer, Third-Person Shooter, Shooter, Third Person, Singleplayer, Online Co-Op, Gore, Mythology	2525	70.7	9.28	8	17	24	18.72 ± 18.86	1.6	8.33	2025-02-13	2025-03-12	2025-04-14	Old School Games	ATLUS USA	19-Apr-2013	X	OS *:Windows XP, Vista, Windows 7 Processor:Intel Core2 Duo or AMD Athlon 64 X2, 2GHz Memory:2 GB RAM Graphics:NVIDIA Geforce 8800 or ATI Radeon 2900 XT DirectX®:9.0c Hard Drive:5 GB HD space Sound:Any DirectX compatible card 	OS *:Windows XP, Vista, Windows 7 Processor:Intel Core2 Quad or AMD Phenom X4 9950, 2.6GHz Memory:3 GB RAM Graphics:NVIDIA Geforce GTX 460 or ATI Radeon 5850 DirectX®:9.0c Hard Drive:5 GB HD space Sound:Any DirectX compatible card Other Requirements:Broadband Internet connection
Oknytt	286320	Adventure, Indie	Singleplayer, Point & Click, Old School, Adventure, Puzzle, Emotional, Cute, Supernatural, Dark Fantasy, Story Rich, Fantasy, Stylized, 2D, Indie, Mythology, Atmospheric, Dark, Horror, Exploration, Short	584	91.3	9.23	5	5	10	9.53 ± 1.46	7.3	100	2023-09-11	2023-09-14	2023-09-14	Nemoria Entertainment	Nemoria Entertainment	04-Apr-2014	NA	OS *: Windows XP, Windows Vista, Windows 7Processor: 2.0 GHz CPUMemory: 1 GB RAMGraphics: Direct X 9.0c compatible video cardDirectX: Version 9.0Storage: 1 GB available spaceSound Card: Direct sound compatible 	OS *: Windows XP, Windows Vista, Windows 7Processor: 2.0 GHz CPUMemory: 1 GB RAMGraphics: Direct X 9.0c compatible video cardDirectX: Version 9.0Storage: 1 GB available spaceSound Card: Direct sound compatible
Solo	591750	Adventure, Indie	Adventure, Indie, Puzzle, Exploration, Narrative, Choices Matter, Story Rich, Singleplayer, LGBTQ+, Female Protagonist, Romance, Atmospheric, Cute, Immersive Sim, Colorful, Emotional, Controller, Casual, Multiplayer, Great Soundtrack	121	70.2	9.22	3	6	20	19.71 ± 12.39	6.7	100	2018-04-27	2021-05-25	2021-05-25	Team Gotham	Team Gotham	26-Apr-2018	NA	OS *: Microsoft® Windows® 7Processor: Intel Core i3-2100 or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA GTX 650DirectX: Version 11Storage: 2 GB available spaceAdditional Notes: A Controller is STRONGLY recommended to play this game.	NA
Dead Rising	427190	Action, Adventure	Zombies, Action, Adventure, Singleplayer, Open World, Third Person, Survival, Gore, Sandbox, Funny, Classic, Horror, Survival Horror, Comedy, Great Soundtrack, Difficult, Memes, Multiplayer, Beat 'em up, Nudity	6741	88.1	9.15	12	72	50	15.83 ± 15.51	2.8	0	NA	NA	2018-03-13	Capcom	Capcom	12-Sep-2016	NA	OS: Windows 10 64-bit versionsProcessor: Intel® Core™ 2 Duo 2.4 Ghz or better, AMD Athlon™ X2 2.8 Ghz or betterMemory: 2 GB RAMGraphics: NVIDIA® GeForce® 550TI\/  AMD 6770DirectX: Version 11Storage: 8 GB available space 	OS: Windows 10 64-bit versionsProcessor: Intel® Core i5 family or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 560 or better \/ AMD 7790 or betterDirectX: Version 11Storage: 8 GB available space
Sonic & All-Stars Racing Transformed Collection	212480	Racing, Sports	Racing, Local Multiplayer, Multiplayer, Great Soundtrack, Local Co-Op, Sports, Split Screen, Arcade, Replay Value, 4 Player Local, Controller, Family Friendly, Online Co-Op, Singleplayer, Fast-Paced, Colorful, Action, Co-op, Adventure, Touch-Friendly	17143	93.6	9.12	8	44	50	18.55 ± 17.87	1.1	16	2015-04-05	2015-11-10	2024-12-23	Sumo Digital	SEGA	31-Jan-2013	NA	OS *: Windows XP, Windows Vista, Windows 7, Windows 8 Processor: 2GHz Intel Core 2 Duo or equivalent Memory: 1GB Ram (Windows XP), 2GB Ram (Windows Vista, Windows 7, Windows 8) Graphics: 256MB with Shader Model 3.0 support DirectX®: 9.0c Hard Drive: 6.7GB free hard drive space Sound: DirectX 9 Compatible 	OS *: Windows XP, Windows Vista, Windows 7, Windows 8 Processor: 2.4GHz Intel i5 or equivalent Memory: 2GB Ram (Windows XP), 4GB Ram (Windows Vista, Windows 7, Windows 8) Graphics: 512MB with Shader Model 3.0 support DirectX®: 9.0c Hard Drive: 6.7GB free hard drive space Sound: DirectX 9 Compatible
Football Manager 2016	378120	Simulation, Sports	Sports, Simulation, Management, Soccer, Football, Strategy, Tactical, Singleplayer, Multiplayer, Free to Play	5346	68.4	9.08	305	1675	107	27.41 ± 27.13	0.1	0	NA	NA	2017-07-31	SPORTS INTERACTIVE	SEGA	NA	X	NA	NA
The Sims™ 3	47890	Simulation	Life Sim, Simulation, Character Customization, Building, Sandbox, Singleplayer, Casual, Funny, Moddable, Romance, RPG, Family Friendly, Comedy, Adventure, Replay Value, Multiplayer, Nudity, Great Soundtrack, Strategy, Action	32910	86.7	9.03	53	154	NA	NA	NA	NA	NA	NA	2022-05-13	The Sims Studio, Maxis	Electronic Arts	27-Jan-2011	NA	OS *: Windows XP (Service Pack 2) or Windows Vista (Service Pack 1) Processor: (XP) 2.0 GHz P4 processor or equivalent; (Vista) 2.4 GHz P4 processor or equivalent  Memory: (XP) 1 GB; (Vista) 1.5 GB Graphics: 128 MB Video Card with support for Pixel Shader 2.0  DirectX®:  Hard Drive: At least 6.5 GB of hard drive space with at least 1 GB additional space for custom content Sound: Built-in Graphics:Intel Integrated Chipset, GMA X3000 or above.   2.6 GHz Pentium D CPU, or 1.8 GHz Core 2 Duo, or equivalent   0.5 GB additional RAMSupported Video Cards:Nvidia GeForce series: FX5900 or greater, G100, GT 120, GT 130, GTS 150, GTS 250, GTX 260, GTX 275, GTX 280, GTX 285, GTX 295; ATI Radeon™ series: ATI Radeon 9500 series of greater, X300, X600, X700, X800, X850, X1300, X1600, X1800, X1900, X1950, 2400, 2600, 2900, 3450, 3650, 3850, 3870, 4850, 4870 series or greater; Intel® Graphics Media Accelerator (GMA): GMA 3-Series, GMA 4-Series  *Please note that the GeForce 6100 and 7100 cards are not supported	NA
Gauntlet™ 	258970	Action, Adventure, RPG	Co-op, Dungeon Crawler, Hack and Slash, Local Co-Op, Action, RPG, Multiplayer, Adventure, Top-Down, 4 Player Local, Online Co-Op, Arcade, Remake, Local Multiplayer, Fantasy, Classic, Action RPG, Isometric, Old School, Casual	9887	81.7	8.98	6	27	46	11.45 ± 17.26	0.5	8.7	2015-04-05	2019-08-11	2019-08-11	Arrowhead Game Studios	WB Games	23-Sep-2014	NA	OS *: Windows Vista \/ Windows 7Processor: 2.4 GHz Dual CoreMemory: 4 GB RAMGraphics: 512 MB NVIDIA GeForce 9800 \/ ATI Radeon HD 2600 XTDirectX: Version 10Network: Broadband Internet connectionStorage: 2 GB available space 	OS *: Windows Vista \/ Windows 7Processor: 2.4 GHz Dual CoreMemory: 4 GB RAMGraphics: 1 GB NVIDIA 460 \/ AMD Radeon 5870DirectX: Version 10Network: Broadband Internet connectionStorage: 2 GB available space
Summertime Madness	1360550	Adventure, Indie	Surreal, Puzzle, Exploration, Puzzle-Platformer, Atmospheric, Action-Adventure, Story Rich, First-Person, Stylized, Hand-drawn, Colorful, Dystopian , Narration, Abstract, Mystery, Nature, 3D, Adventure, Supernatural, Singleplayer	94	74.5	8.95	2	3	14	8.35 ± 6.68	3.1	100	2023-08-19	2023-08-20	2023-08-20	DP Games	DP Games, aNc Studios	17-Jun-2021	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 \/ 8 \/ 10, 64-bitsProcessor: Intel Core i3-530 \/ AMD Ryzen 3 1200Memory: 4 GB RAMGraphics: NVIDIA Geforce GTX 750 \/ ATI Radeon HD 7850 \/ AMD R9 280DirectX: Version 11Storage: 2 GB available space 	Requires a 64-bit processor and operating systemOS *: Windows 7 \/ 8 \/ 10, 64-bitsProcessor: Intel Core i5-4590 \/ AMD Ryzen 5 1600Memory: 6 GB RAMGraphics: Nvidia Geforce GTX 970 \/ AMD RX 570DirectX: Version 12Storage: 2 GB available space
8-Bit Adventures 1: The Forgotten Journey Remastered Edition	370300	Adventure, Indie, RPG	RPG, Adventure, Indie, Pixel Graphics, RPGMaker, JRPG, 2D, Singleplayer, Turn-Based Combat, Turn-Based, Fantasy, Great Soundtrack, Soundtrack, Party-Based RPG	193	85.5	8.93	13	16	40	9.29 ± 2.94	5.3	0	NA	NA	2016-01-21	Critical Games	Critical Games	22-May-2015	NA	OS *: Windows (XP or higher)Processor: 1.5GHz Intel Pentium 4 equivalent or higher processorMemory: 512 MB RAMGraphics: 1024x768 or better video resolution in True Colour modeStorage: 100 MB available spaceSound Card: DirectSound-compatible sound card	NA
Soul Axiom	279900	Adventure, Indie	Adventure, Indie, Sci-fi, Cyberpunk, Puzzle, Exploration, Mystery, Atmospheric, Fantasy, First-Person, Thriller	245	71.8	8.9	13	16	63	10.98 ± 11.8	1.8	0	NA	NA	2018-04-23	Wales Interactive	Wales Interactive	29-Feb-2016	NA	OS *: Windows 7 64-bitProcessor: Core i3 \/ AMD A6 2.4GhzMemory: 2 GB RAMGraphics: NVIDIA GeForce GTX 260 \/ AMD Radeon HD 5750. OpenGL 3.3DirectX: Version 11Storage: 5 GB available space	NA
GRIS	683320	Adventure, Indie	Beautiful, Atmospheric, Great Soundtrack, Indie, Female Protagonist, Adventure, Hand-drawn, Platformer, Singleplayer, Relaxing, 2D, Story Rich, Puzzle, Colorful, Puzzle-Platformer, Surreal, Casual, Exploration, Walking Simulator, Anime	83448	96.4	8.87	4	6	17	24.64 ± 25.82	5.4	100	2020-05-09	2022-02-07	2022-02-07	Nomada Studio	Devolver Digital	13-Dec-2018	NA	OS *: Windows 7 or laterProcessor: Intel Core2 Duo E6750 (2 * 2660) or equivalent \/  AMD Athlon 64 X2 Dual Core 5000+ (2 * 2600) or equivalentMemory: 4 GB RAMGraphics: Geforce GT 430 (1024 MB) \/ Radeon HD 5570 (1024 MB)Storage: 4 GB available space	NA
Turok 2: Seeds of Evil	405830	Action, Adventure	FPS, Action, Classic, Dinosaurs, Gore, Violent, Adventure, Singleplayer, Multiplayer, Sci-fi, 1990's, Shooter, Great Soundtrack, Boomer Shooter, First-Person, Split Screen, Retro, Aliens, Metroidvania, Local Multiplayer	2540	90.5	8.82	11	17	14	15.09 ± 9.63	3.2	14.29	2017-03-22	2017-03-30	2017-07-20	Iguana Entertainment, Nightdive Studios	Nightdive Studios	16-Mar-2017	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 (64-bit required)Processor: Intel or AMD Dual-Core at 2.0 GHzMemory: 1 GB RAMGraphics: GPU with OpenGL 3.2 or DirectX 10 supportStorage: 1 GB available spaceSound Card: 100% DirectX compatible sound card or onboard soundAdditional Notes: Intel CPUs rendering graphics may not be OpenGL 3.2+ compatible. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit required)Processor: Intel Core i5-2300 2.8 GHz\/AMD Phenom II X4 945 3.0 GHz or equivalentMemory: 2 GB RAMStorage: 1 GB available spaceSound Card: 100% DirectX compatible sound card or onboard soundAdditional Notes: Intel CPUs rendering graphics may not be OpenGL 3.2+ compatible.
Abyss Odyssey	255070	Action, Adventure, Indie	Action, Action Roguelike, Roguevania, Platformer, Indie, Adventure, Side Scroller, Co-op, Female Protagonist, Rogue-like, Metroidvania, 2D, Beat 'em up, Local Co-Op, Hack and Slash, Fighting, Fantasy, Rogue-lite, RPG, Singleplayer	2513	62.7	8.78	4	18	17	13.11 ± 11.85	2.8	0	NA	NA	2016-01-22	ACE Team	SEGA	15-Jul-2014	NA	OS *: Windows XP, Vista, 7Processor: Intel Core 2 Duo 2.4 GHz or AMD Athlon X2 4800+Memory: 2 GB RAMGraphics: ATI 3850HD 512 MB or NVIDIA GeForce 8800 GT 512MBDirectX: Version 9.0cStorage: 4 GB available space 	OS *: Windows XP, Vista, 7Processor: Intel Core i5Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 280DirectX: Version 9.0cStorage: 4 GB available space
Call of Duty: Black Ops III	311210	Action, Adventure	Multiplayer, Zombies, FPS, Shooter, Action, First-Person, Singleplayer, Co-op, Futuristic, Illuminati, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Parkour, Quick-Time Events, Split Screen	215026	84.3	8.75	9	84	98	10.52 ± 5.97	6.1	0	NA	NA	2023-04-15	Treyarch, Aspyr (Mac)	Activision, Aspyr (Mac)	05-Nov-2015	NA	OS *: Windows 7 64-Bit \/ Windows 8 64-Bit \/ Windows 8.1 64-BitProcessor: Intel® Core™ i3-530 @ 2.93 GHz \/ AMD Phenom™ II X4 810 @ 2.60 GHzMemory: 6 GB RAMGraphics: NVIDIA® GeForce® GTX 470 @ 1GB \/ ATI® Radeon™ HD 6970 @ 1GBDirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX Compatible	NA
Blade Symphony	225600	Action, Indie	Action, Fighting, Indie, Multiplayer, Swordplay, Competitive, Third Person, Hack and Slash, Ninja, Parkour, Sci-fi, PvP, Strategy, Kickstarter, Tactical, Early Access, Fantasy, Great Soundtrack, Adventure, Free to Play	4803	66.4	8.63	0	4	26	3.49 ± 4.39	1.2	0	NA	NA	2016-03-10	Puny Human	Puny Human	07-May-2014	NA	OS *: Windows Vista, 7, 8, 10 Processor: 3.0 Ghz P4(+), Dual Core 2.0(+) or AMD64X2(+) Memory: 2 GB RAM Graphics: DX9.0c Compatible 256MB VRAM, NVIDIA Geforce 7600 Series \/ ATI x1600 Series DirectX®: 9.0c Hard Drive: 5 GB HD space Sound: DirectX 9.0c Compatible Other Requirements: Broadband Internet connection	NA
Sid Meier's Civilization VI	289070	Strategy	Strategy, Turn-Based Strategy, Multiplayer, Historical, Grand Strategy, Singleplayer, Turn-Based, 4X, War, City Builder, Simulation, Tactical, Management, Building, Great Soundtrack, Online Co-Op, Moddable, Co-op, Hex Grid, Atmospheric	349920	86.9	8.63	23	376	320	5.76 ± 11.81	0.2	0	NA	NA	2018-03-12	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	2K, Aspyr (Mac), Aspyr (Linux)	20-Oct-2016	NA	Requires a 64-bit processor and operating systemOS *: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greaterMemory: 4 GB RAMGraphics: 1 GB &amp; AMD 5570 or nVidia 450 or Intel Integrated Graphics 530DirectX: Version 11Storage: 17 GB available spaceSound Card: DirectX Compatible Sound DeviceAdditional Notes: Initial installation requires one-time Internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. Internet connection and acceptance of Steam™ Subscriber Agreement required for activation. See  for details. 	Requires a 64-bit processor and operating systemOS *: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greaterMemory: 8 GB RAMGraphics: 2GB &amp; AMD 7970 or nVidia 770 or greaterDirectX: Version 11Storage: 23 GB available spaceSound Card: DirectX Compatible Sound Device
Lost Ark	1599340	Action, Adventure, Massively Multiplayer, RPG, Free To Play	MMORPG, Free to Play, Action RPG, Multiplayer, Hack and Slash, Character Customization, RPG, Massively Multiplayer, Action, Sexual Content, Adventure, PvE, Fantasy, PvP, Isometric, Online Co-Op, Class-Based, Singleplayer, Violent, Gore	202021	71	8.63	48	706	156	14.74 ± 23.1	0	1.92	2022-02-08	2022-02-08	2022-02-21	Smilegate RPG	Amazon Games	NA	NA	NA	NA
Serious Sam 3: BFE	41070	Action, Indie	FPS, Action, Co-op, Gore, Comedy, Online Co-Op, Multiplayer, Aliens, Shooter, First-Person, Old School, Local Co-Op, Indie, Split Screen, Difficult, Funny, Singleplayer, Adventure, Sci-fi, Local Multiplayer	27715	88.4	8.6	10	27	62	19.27 ± 17.73	2.2	9.68	2015-04-02	2022-08-18	2022-08-18	Croteam	Devolver Digital	22-Nov-2011	NA	OS *: Windows XP 32-bit (with service pack 2 or 3) Processor: Dual-core from Intel or AMD at 2.0 GHz Memory: 1GB Graphics: nVidia GeForce 7800\/7900\/8600 series, ATI\/AMD Radeon HD2600\/3600 or 1800\/X1900 series DirectX®: 9.0c Hard Drive: 4GB free hard drive space Sound: DirectX9.0c Compatible Sound Card  	OS *: Windows 7 64-bit Processor: Quad-core from Intel (i5\/i7-series) or AMD (Phenom II) at 3.0 GHz Memory: 4GB Graphics: nVidia GeForce 480\/580 GTX, ATI\/AMD Radeon HD 5870\/6970 DirectX®: 9.0c Hard Drive: 4GB free hard drive space Sound: DirectX9.0c Compatible Sound Card
Angry Birds Space	210550	Casual	Casual, Physics, Puzzle, Touch-Friendly, Family Friendly, Singleplayer, Space, 2D, Indie, Free to Play, Birds, Action, Horror	544	90.1	8.52	5	17	52	15.17 ± 18.24	2.2	13.46	2015-06-27	2022-05-28	2022-05-28	Rovio Entertainment Ltd	Rovio Entertainment Ltd	NA	X	OS: XP SP2 Processor: 1 GHz Memory: 512 MB RAM Graphics: OpenGL 1.3 compatible Hard Drive: 54 MB HD space Sound: required Other Requirements: Broadband Internet connection	NA
OVERKILL's The Walking Dead	717690	Action	Zombies, Co-op, Action, Multiplayer, FPS, Survival, Post-apocalyptic, Survival Horror, Violent, First-Person, Online Co-Op, Horror, Singleplayer, Gore, Shooter, Open World, Team-Based, Adventure, Nudity, Story Rich	7497	51.6	8.45	9	31	74	21.23 ± 20.33	0.8	0	NA	NA	2019-05-26	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	NA	X	NA	NA
Citizens of Earth	258910	RPG	RPG, Comedy, Turn-Based, Singleplayer, Cartoony, 2D, Indie, Retro, JRPG, Funny	399	76.2	8.33	15	35	50	10.53 ± 8.07	2.2	0	NA	NA	2018-03-18	Eden Industries	Brain Seal Ltd	20-Jan-2015	X	OS *: Windows XP or aboveProcessor: 2.2 GHz Dual CoreMemory: 2 GB RAMGraphics: 512 MB NVIDIA GeForce 9800 \/ ATI Radeon HD 2600 XTStorage: 2 GB available space 	OS *: Windows Vista or aboveProcessor: 2.8 GHz Dual CoreMemory: 4 GB RAMGraphics: 1 GB NVIDIA 460 \/ AMD Radeon 5870Storage: 2 GB available space
Double Dragon Neon	252350	Action, Indie	Beat 'em up, Co-op, Great Soundtrack, 1980s, Action, Arcade, Retro, Side Scroller, Local Multiplayer, Indie, Online Co-Op, Remake, Local Co-Op, Classic, Fighting, 2D, Platformer, Controller, Funny	2477	77.1	8.32	4	13	29	11.71 ± 14.3	1.2	10.34	2015-04-02	2015-04-02	2024-05-12	WayForward, Abstraction Games	Midnight City, Majesco Entertainment	06-Feb-2014	NA	OS *: Windows 7-32Bit or Windows 8-32BitProcessor: AMD Athlon 64 X2 Dual Core Processor 4600+, 2.4GHz \/ Intel Pentium D 805 2.66GHz or higherMemory: 1 GB RAMGraphics: NVIDIA GeForce 9600 GT 512 MB \/ ATI Radeon HD 4650 1GB or higher | Shader Model 3+Network: Broadband Internet connectionStorage: 3 GB available spaceAdditional Notes: Internet connection required for online play 	OS *: Windows 7-64Bit or Windows 8-64BitProcessor: AMD Athlon 7850 Dual Core Processor 2.8GHz \/ Intel Core 2 Duo E7500 2.93 GHzMemory: 2 GB RAMGraphics: NVIDIA GeForce 9600 GT 1GB \/ ATI Radeon HD 4650 1GB  | Shader Model 3+Network: Broadband Internet connectionStorage: 3 GB available spaceAdditional Notes: Internet connection required for online play
Gunman Clive	262550	Action, Indie	Indie, Action, Western, Platformer, Side Scroller, 2D, Difficult, Short, Shooter, Singleplayer, Great Soundtrack	785	87.5	8.32	1	3	9	8.2 ± 6.66	4.6	100	2023-01-17	2023-01-28	2023-01-28	Hörberg Productions	Hörberg Productions	03-Jan-2014	NA	OS *: Windows XP SP2Processor: 2 GHzMemory: 1 GB RAMGraphics: OpenGL 2.0Storage: 150 MB available space	NA
Dragon's Dogma: Dark Arisen	367500	Action, Adventure, RPG	RPG, Open World, Character Customization, Fantasy, Action, Adventure, Singleplayer, Action RPG, Dragons, Dark Fantasy, Third Person, Magic, Exploration, Atmospheric, Great Soundtrack, Story Rich, Difficult, Multiplayer, JRPG, Hack and Slash	46686	88.5	8.22	33	114	59	21.53 ± 20.93	1.3	0	NA	NA	2018-02-14	Capcom	Capcom	15-Jan-2016	NA	OS *: Windows Vista or newer (32 or 64 bit)Processor: Intel Core i5 660 CPU or equivalentMemory: 4 GB RAMGraphics: Radeon HD 5870 or equivalentDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX-compatible sound card or onboard audio chipAdditional Notes: 1) Supports Keyboard+Mouse and XInput\/DirectInput devices including Xbox 360, Xbox One, DualShock4 and Steam Controller.2) Some high end integrated graphics chips and modern gaming laptops with a discrete GPU may work but have not been tested, nor are they officially supported by Capcom. 	OS *: Windows 7\/8\/10Processor: Intel Core i7-4770K or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 760 or equivalentDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX-compatible sound card or onboard audio chipAdditional Notes: 1) Supports Keyboard+Mouse and XInput\/DirectInput devices including Xbox 360, Xbox One, DualShock4 and Steam Controller.2) Some high end integrated graphics chips and modern gaming laptops with a discrete GPU may work but have not been tested, nor are they officially supported by Capcom.
