Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
BloodRayne 2	3820	Action	Action, Vampire, Female Protagonist, Gore, Hack and Slash, Third Person, Horror, Singleplayer, Classic, Nudity	443	71.8	2.53	9	10	NA	NA	NA	NA	2016-03-03	Terminal Reality	Ziggurat	14-Sep-2006	X	 Windows 98 SE\/2000\/XP, 1.2 GHz processor, 256MB RAM, 200MB virtual memory, 5 GB free hard disc space, DirectX 8.1 or higher (included with game), DirectX compatible sound card, 100% DirectX 8.1 compatible video card, GeForce 3 or higher, with Hardware T&amp;L (Transform &amp; Lighting). Excludes GeForce MX and Go series cards. See full list below. Excluded cards:- ATI Rage (all), Radeon VE and Radeon 7000, 7500, 9000 - ATI Mobility Radeon (original, laptop) - NVidia GeForce 4 MX 420 or 440 PCI - Nvidia Quadro NVS - Nvidia GeForce 2 series - Nvidia Geforce4 440 Go 64M (laptop users) - Kyro 3D Prophet - Matrox - 3D Labs - Intel Onboard (all versions) 	 Windows XP, Pentium 4 2.0 GHz or AMD equivalent, 512 MB RAM, 200MB virtual memory, 5 GB free hard disc space, 100% DirectX 8.1 compatible video card, Matrox Pahrelia, Nvidia GeForce 6800, ATI Radeon X800, 9600, 9700, 9800 or better, DirectX 8.1 or higher, DirectX compatible sound card
Crazy Machines 2	18400	Casual, Strategy	Casual, Puzzle, Strategy, Physics, Singleplayer	245	47.8	2.53	22	0	NA	NA	NA	NA	2016-03-12	Fakt Software	Viva Media	20-Jun-2008	NA	OS: Windows 7\/Vista\/XP                         Processor: Pentium 4 or better                         Memory: 512 MB RAM                         Graphics: DirectX 9 compliant card NVIDIA GeForce 6600 series or ATI Radeon X700 or higher                          DirectX Version: DirectX 9.0c                         Sound: DirectX 9-comp sound card                         Hard Drive: 500 MB available                    	NA
Dino D-Day	70000	Action, Indie	Dinosaurs, Multiplayer, Action, World War II, FPS, Indie, Shooter, First-Person, War, Comedy, Funny, Third Person, Alternate History, Co-op, Survival, Historical, PvP, Third-Person Shooter, Gore, Open World	15016	83.9	2.53	6	17	77	0	NA	NA	2016-04-23	800 North and Digital Ranch	800 North and Digital Ranch	08-Apr-2011	NA	OS: Windows XP\/Vista\/7 Processor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)  Memory: 2 GB RAM  Hard Disk Space: 5 GB of free space Video Card: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher \/ NVIDIA GeForce 7600 or higher \/ Intel HD Graphics 2000 or higher). Sound: Direct X 9.0c compatible sound card	NA
Faerie Solitaire	38600	Casual, Indie, RPG	Solitaire, Casual, Board Game, Card Game, Tabletop, RPG, Cute, Relaxing, Puzzle, Colorful, Family Friendly, Fantasy, Dark Fantasy, Adventure, Beautiful, Singleplayer, Addictive, Epic, Great Soundtrack, Indie	2500	91	2.53	13	36	30	0	NA	NA	2016-04-18	Subsoap	Subsoap	17-Sep-2010	NA	OS: Windows XP\/Vista\/7 Processor: 800 Mhz (minimum) Memory: 256MB (minimum)  Hard Disk Space: 100MB DirectX®: 7 (minimum)	NA
Tower Wars	214360	Action, Indie, Strategy	Tower Defense, Strategy, Indie, Steampunk, Multiplayer, Co-op, Action, Singleplayer, Online Co-Op, Difficult	1718	73.2	2.53	4	4	35	0	NA	NA	2016-04-29	SuperVillain Studios	SuperVillain Studios	14-Aug-2012	NA	 Minimum (or Recommended)OS: Windows® XP SP3\/ Windows® Vista SP2\/ Windows® 7                 Processor: Dual Core processor with 2.0GHz or greater (Intel Core 2 Duo or AMD Athlon 64 X2)                Memory: 2 GB RAM                Hard Disk Space: 1.5 GB                 Video Card: Video Card with 512MB dedicated memory and DX9.0c support (Shader Model 3+)  *Video cards with shared memory technology are not supported.                DirectX®: DirectX® version 9.0c                Sound: Windows compatible sound device                Additional: Tower Wars online ranked and unranked multiplayer matches require a broadband internet connection.            	NA
Hitman: Absolution	203140	Action	Stealth, Action, Third Person, Assassin, Singleplayer, Third-Person Shooter, Tactical, Shooter, Replay Value, Crime, Story Rich, Multiplayer, Cinematic, Difficult, Atmospheric, Adventure, Strategy, Score Attack, Linear, Controller	43071	92	2.53	12	37	47	0	NA	NA	2016-04-29	Io-Interactive A\/S	Io-Interactive A\/S	19-Nov-2012	NA	OS: Windows Vista, 7 Processor: True dual core CPU (Intel, AMD)  Hard Drive Space: 24GB Memory: 2 GB RAM  Video Card: NV8600 512 Mb RAM, or AMD equivalent DirectX®: 10 	OS: Windows 7 64-bit Processor: Intel Core i7 or AMD Athlon II X4 Hard Drive Space: 24GB Memory: 4 GB RAM  Video Card: NVIDIA GeForce GTX 260 or ATI Radeon HD 5770 DirectX®: 11
Freedom Planet	248310	Action, Indie	Platformer, Great Soundtrack, Action, Female Protagonist, 2D, Indie, Retro, Pixel Graphics, Fast-Paced, Singleplayer, Adventure, Kickstarter, Difficult, Cute, Anime, Classic, Side Scroller, Story Rich, Aliens, Funny	4498	95.2	2.53	5	22	56	0	NA	NA	2016-01-23	GalaxyTrail	GalaxyTrail	21-Jul-2014	NA	OS: Windows XP\/Windows Vista\/Windows 7\/Windows 8Processor: Dual-Core 2.0 GHz or betterMemory: 1 GB RAMGraphics: ATI Radeon X1300\/NVidia GeForce 6600 GT or betterDirectX: Version 9.0cStorage: 400 MB available spaceSound Card: DirectX-Compatible Sound CardAdditional Notes: We recommend trying the demo before purchasing to ensure that your system will run the game without errors.	NA
Frederic: Resurrection of Music	301190	Action, Casual, Indie	Indie, Music, Casual, Action, Rhythm, Comedy, Great Soundtrack, Touch-Friendly, Singleplayer	966	83.5	2.53	2	6	18	0	NA	NA	2016-04-17	Forever Entertainment S. A.	Forever Entertainment S. A.	16-May-2014	NA	OS: Windows 7Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 7800, ATI\/AMD Radeaon HD2600\/3600Storage: 2 GB available space	NA
PAYDAY: The Heist	24240	Action	FPS, Action, Co-op, Heist, Multiplayer, Crime, Online Co-Op, Shooter, First-Person, Great Soundtrack, Team-Based, Stealth, Difficult, Tactical, Strategy, Singleplayer, Simulation, RPG, Indie, Adventure	39267	93.4	2.53	10	46	56	0	NA	NA	2016-04-29	OVERKILL Software	Daybreak Game Company	20-Oct-2011	NA	OS: Windows XP, Vista, 7 Processor: P4 3 GHz or Athlon 3400+ Memory: 1 GB Ram Video Card: NVIDIA 7800GTX or ATI x1900  OS: Windows XP, Vista, 7 Processor: Core 2 Duo or Athlon x2 Memory: 2 GB Ram Video Card: NVIDIA 260 or ATI 4850	NA
The Journey Down: Chapter One	220090	Adventure, Indie	Adventure, Noir, Point & Click, Atmospheric, Indie, Surreal, Colorful, Comedy, Fantasy, Episodic, Linear, Dark, Mouse only, Dark Comedy, Dynamic Narration, Dark Humor, 2.5D, Dark Fantasy, Sequel, Narration	1245	87.4	2.52	2	3	NA	NA	NA	NA	2016-02-10	SkyGoblin	SkyGoblin	09-Jan-2013	NA	OS:Windows XP SP 2+, Windows Vista, Windows 7 Processor:1.8 GHz CPU Memory:1 GB RAM Graphics:Direct X 9.0c compatible video card DirectX®:9.0c Hard Drive:1 GB HD space 	OS:Windows XP SP 2+, Windows Vista, Windows 7 Processor:1.8 GHz CPU Memory:1 GB RAM Graphics:Direct X 9.0c compatible video card DirectX®:9.0c Hard Drive:1 GB HD space
Betrayer	243120	Action, Adventure, Indie	Horror, Adventure, First-Person, Atmospheric, Open World, Indie, Action, Singleplayer, Stealth, Exploration, Survival, Walking Simulator, FPS, Dark, Survival Horror, Historical, Medieval, Story Rich, Shooter, RPG	3667	81.7	2.52	7	13	21	0	NA	NA	2016-04-23	Blackpowder Games	Blackpowder Games	24-Mar-2014	X	OS: Windows Vista 64-bitProcessor: 3.0 GHz dual core or betterMemory: 3 GB RAMGraphics: Graphics: DirectX 9 compatible with 1GB video RAM or better (NVIDIA GeForce GTX 460\/AMD Radeon HD 6850)DirectX: Version 9.0cStorage: 4 GB available spaceSound Card: Windows compatible stereo sound card 	OS: Windows Vista 64-bit \/ Windows 7 64-bit\/ Windows 8 64-bitProcessor: 2.4 GHz quad core or better (enhanced for multi-core processors)Memory: 4 GB RAMGraphics: Graphics: DirectX 9 compatible with 2GB video RAM or better (NVIDIA GeForce GTX 560 Ti\/AMD Radeon HD 6870)DirectX: Version 9.0cStorage: 4 GB available spaceSound Card: Windows compatible stereo sound card
Ravaged Zombie Apocalypse	96300	Action, Indie	Action, Zombies, Indie, Multiplayer, FPS, Survival, Co-op, Shooter, Open World, Horror	989	43.1	2.52	2	20	62	0	NA	NA	2016-01-27	2 Dawn Studios	2 Dawn Studios, Reverb Publishing	NA	X	NA	NA
Type:Rider	258890	Action, Adventure, Casual, Indie	Casual, Platformer, Puzzle, Singleplayer, Historical, Typing, Short, Indie, Education, Puzzle-Platformer, Adventure, 2D, Atmospheric, Beautiful, Stylized, Action, Story Rich, Physics, 2D Platformer, Text-Based	1603	79.7	2.52	2	4	12	0	NA	NA	2016-04-21	Ex Nihilo, ARTE France	ARTE France	06-Nov-2013	NA	OS: Windows XPProcessor: Core 2 DuoMemory: 2 GB RAMGraphics: 3D acceleratedDirectX: Version 9.0Network: Broadband Internet connectionStorage: 500 MB available spaceSound Card: Compatible SB16 	OS: Windows 7Processor: Core i5Memory: 4 GB RAMGraphics: 3D acceleratedDirectX: Version 9.0Network: Broadband Internet connectionStorage: 500 MB available spaceSound Card: Compatible SB16
Mount & Blade	22100	Indie, RPG	RPG, Medieval, Open World, Strategy, Sandbox, Action, Singleplayer, Adventure, Third Person, Multiplayer, Indie, Moddable, Historical, Action RPG, Character Customization, First-Person, Simulation, Replay Value, Fantasy, Female Protagonist	5908	92.5	2.52	43	102	NA	NA	NA	NA	2016-04-13	TaleWorlds Entertainment	TaleWorlds Entertainment	03-Nov-2008	NA	OS: Windows 2000\/XP\/Vista                     Memory: 512 MB of RAM                     Graphics: Graphics card with at least 64 MB memory                     Hard Drive: 700 MB of hard disk space.                        	NA
The Ship	2400	Action, Indie, RPG	Multiplayer, Indie, First-Person, Action, Stealth, Mystery, RPG, Assassin, Funny, Survival, Simulation, FPS, Singleplayer, Comedy, Shooter, Adventure, Strategy, Difficult, Stylized, Replay Value	5913	85.8	2.52	3	5	NA	NA	NA	NA	2016-01-28	Outerlight Ltd.	Blazing Griffin	11-Jul-2006	NA	 1.8 GHz Processor, 512MB RAM, DirectX 8 level graphics card (1024x768), Windows 2000\/XP\/ME\/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c	 2.8 GHz Processor, 1024MB RAM, DirectX 9 capable Graphics Card (1024x768), Windows 2000\/XP\/ME\/98, Mouse, Keyboard, Internet Connection, DirectX 9.0c
Overture	343100	Action, Adventure, Casual, Indie, RPG, Strategy	Action Roguelike, Indie, Action, RPG, Pixel Graphics, Rogue-like, Adventure, Bullet Hell, Casual, Dungeon Crawler, Rogue-lite, Loot, Strategy, Retro, 2D, Hack and Slash, Singleplayer, Difficult, Great Soundtrack, Twin Stick Shooter	1232	76.5	2.52	6	10	4	0	NA	NA	2016-02-16	Black Shell Games	Plug In Digital	02-Feb-2015	NA	OS: Windows 7Processor: 2.0 GHzMemory: 1 GB RAMGraphics: Integrated GraphicsStorage: 50 MB available spaceSound Card: Integrated Audio	NA
Zup! 5	645090	Casual, Indie	Puzzle, Casual, Indie, Fast-Paced, 2D, Physics, Short, Relaxing, Minimalist, Puzzle-Platformer, Point & Click, Singleplayer, Cute, Action, Pixel Graphics, Survival, Horror, Logic, Difficult, Trading Card Game	2558	93.8	2.52	1	1	2130	100	2017-06-18	2017-06-18	2017-07-06	Quiet River	Quiet River	13-Jun-2017	NA	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Celeron 1800 MHzMemory: 256 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 25 MB available space 	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Core i3Memory: 512 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 30 MB available space
Stacking	115110	Adventure, Indie	Adventure, Puzzle, Indie, Comedy, Singleplayer, Third Person, Short, Exploration, Casual, Funny, Family Friendly, Cute, Steampunk, Atmospheric, Beautiful	1677	89.1	2.5	4	9	21	0	NA	NA	2016-02-11	Double Fine Productions	Double Fine Productions	06-Mar-2012	NA	OS: Windows XP SP3 Processor: 1.8 GHz dual core CPU Memory: 1 GB RAM Graphics: 256 MB GeForce 8800, Radeon 3850, or Intel HD 2000 Graphics DirectX®:9.0c Hard Drive: 1.5 GB free HD Space Sound:DirectX Compatible Sound Card 	OS:Windows 7 Processor:Intel Core 2 Duo at 2.2 GHz, or AMD Athlon 64 at 2.2 GHz Memory:1 GB RAM Graphics: 512 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics DirectX®:9.0c Hard Drive: 1.5 GB free HD Space Sound:DirectX Compatible Sound Card
Transistor	237930	Action, Indie, RPG	Great Soundtrack, Female Protagonist, Indie, Cyberpunk, Story Rich, Sci-fi, Action RPG, Singleplayer, RPG, Beautiful, Isometric, Atmospheric, Action, Narration, Strategy, Tactical, Adventure, Turn-Based, Short, Hack and Slash	29464	94.3	2.5	6	16	33	0	NA	NA	2016-02-09	Supergiant Games	Supergiant Games	20-May-2014	NA	OS: Windows 7 32-bitProcessor: Dual Core CPU - 2.6ghzMemory: 4 GB RAMGraphics: 1GB of VRAM: Intel HD 3000 GPU \/ AMD HD 5450 \/ Nvidia 9400 GTStorage: 3 GB available space	NA
Avalanche 2: Super Avalanche	351250	Action, Indie	Indie, Action, Local Co-Op, Arcade, Fast-Paced, Platformer, Pixel Graphics	242	85.1	2.5	5	11	22	0	NA	NA	2016-04-02	Beast Games	Midnight City	11-Jun-2015	NA	OS: Windows XPProcessor: Intel® Core™ i3-2310M processor (dual-core, 2.10GHz, 3MB Cache)Memory: 2 GB RAMGraphics: Intel HD Graphics 3000 in processorStorage: 35 MB available spaceSound Card: Realtek High Definition AudioAdditional Notes: Requires Adobe AIR v4.0 or greater 	OS: Windows 7Processor: Intel Core i5-2400 CPU 3.10GHzMemory: 6 GB RAMGraphics: AMD Radeon HD 6800 SeriesStorage: 35 MB available spaceSound Card: Realtek High Definition AudioAdditional Notes: Requires Adobe AIR v4.0 or greater
Gabe Newell Simulator	407420	Action, Adventure, Casual, Indie, Simulation	Memes, Action, Simulation, Indie, Adventure, Parody , Shooter, Comedy, Third Person, Funny, Singleplayer, Third-Person Shooter, Difficult, Action-Adventure, Early Access, Violent, Sci-fi, MMORPG	644	50.6	2.5	1	0	NA	NA	NA	NA	2017-07-06	Antonio Renna	Antonio Renna	14-Dec-2015	NA	OS: Windows XP or higherProcessor: 2.2 GHz Dual Core ProcessorMemory: 2 GB RAMGraphics: GPU with 512 MB Video RAMDirectX: Version 9.0Storage: 4 GB available spaceSound Card: DirectX 9.0 or higher compatible 	OS: Windows 7 or higherProcessor: 2.2 GHz Quad Core ProcessorMemory: 4 GB RAMGraphics: GPU with 1 GB Video RAMDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DirectX 9.0 or higher compatible
Super Meat Boy	40800	Indie	Precision Platformer, Platformer, Difficult, Indie, 2D Platformer, Pixel Graphics, 2D, Singleplayer, Great Soundtrack, Fast-Paced, Retro, Controller, Unforgiving, Gore, Action, Time Attack, Funny, Comedy, Side Scroller, Replay Value	32341	94.7	2.47	10	43	48	4.17	2014-06-15	2014-06-16	2017-02-08	Team Meat	Electronic Arts	30-Nov-2010	NA	OS: Microsoft® Windows® XP \/ Vista \/ 7 (Windows 8 is not officially supported) Processor: 1.4GHz or faster Memory: 1 GB RAM  Graphics: Graphics Card made within the last 4 years (Pixel Shader 3.0, Vertex Shader 3.0) DirectX®: DirectX® 9.0c Hard Drive: 300 MB  Controller Support: Microsoft Xbox 360 Controller or Direct Input compatible controller	NA
Tropico 5	245620	RPG, Simulation, Strategy	Strategy, City Builder, Simulation, Sandbox, Multiplayer, Economy, Politics, Management, Resource Management, Singleplayer, Comedy, Co-op, RPG, Historical, Great Soundtrack, RTS, Funny, Atmospheric, Open World, Adventure	13581	78.5	2.47	21	103	70	0	NA	NA	2016-04-25	Haemimont Games	Kalypso Media Digital	23-May-2014	NA	OS: Windows Vista SP2, Windows 7, Windows 8Processor: 2 GHz Dual Core CPUMemory: 4 GB RAMGraphics: GeForce 400 or higher, AMD Radeon HD 4000 or higher, Intel HD 4000 or higher (DirectX 11 hardware support required)DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX compatible 	OS: Windows  7 (64 bit), Windows 8 (64 bit)Processor: 2.5 GHz Quad Core CPUMemory: 8 GB RAMGraphics: GeForce 500 or higher, AMD Radeon HD 5000 or higherDirectX: Version 11Network: Broadband Internet connectionStorage: 4 GB available space
Explottens	630400	Action, Adventure, Casual, Indie, Early Access	Early Access, Side Scroller, Hero Shooter, Shoot 'Em Up, Twin Stick Shooter, Bullet Hell, 2D Platformer, Beat 'em up, Platformer, Shooter, Arcade, 2D Fighter, 2D, Cute, Story Rich, Controller, Action, Casual, Stylized, Colorful	16	93.8	2.47	No time registered yet	No time registered yet	21	100	2022-10-16	2022-10-17	2022-10-17	Playdew	Playdew	NA	X	NA	NA
Bright Memory	955050	Action, Adventure, Indie	Female Protagonist, FPS, Hack and Slash, Shooter, First-Person, Action, Souls-like, Open World, Sci-fi, Adventure, Anime, Singleplayer, Multiplayer, Indie, Sexual Content, Gore, Violent, Nudity, Short, Early Access	31938	91.4	2.45	1	2	12	100	2022-12-04	2022-12-12	2022-12-12	FYQD-Studio	FYQD-Studio, PLAYISM	25-Mar-2020	NA	OS: Windows 7 64 BitProcessor: i5-3470 INTEL or AMD EquivalentMemory: 6 GB RAMGraphics: Nvidia GTX 660 or AMD Radeon HD 7770DirectX: Version 11Storage: 4 GB available spaceAdditional Notes:  	OS: Windows 10 64 BitProcessor: i7-4790K INTEL or AMD EquivalentMemory: 8 GB RAMGraphics: Nvidia GTX 1060 or AMD Radeon R9 390DirectX: Version 11Storage: 4 GB available spaceAdditional Notes: 
Foul Play	244810	Action, Adventure, Casual, Indie	Beat 'em up, Action, Indie, Local Co-Op, Adventure, Casual, Comedy, Online Co-Op, Co-op, 2D, Side Scroller, Steampunk	638	79.6	2.42	4	11	30	3.33	2017-08-21	2017-08-21	2018-02-17	Mediatonic	Epic Games	18-Sep-2013	NA	OS: Windows XP with SP3, Windows Vista \/ 7 \/ 8Processor: 3GHz Intel or AMD CPUMemory: 2 GB RAMGraphics: GeForce 6200 \/ ATI Radeon X600 w\/ 256 MBAdditional Notes: Wired Xbox 360 Gamepad Recommended	NA
Reus	222730	Indie, Simulation, Strategy	God Game, Strategy, Indie, Simulation, Singleplayer, Sandbox, Casual, 2D, Puzzle, Resource Management, Replay Value, Fantasy, Relaxing, Nature, Addictive, Family Friendly, Management, Great Soundtrack, Funny, Adventure	5533	78.6	2.4	8	66	123	0	NA	NA	2016-03-01	Abbey Games	Abbey Games	16-May-2013	NA	Processor:Intel® Core 2 Duo or AMD Phenom processor Memory:2 GB RAM Graphics:DirectX10(R) compatible card with 512MB of memory Hard Drive:500 MB HD space 	OS:Windows 7 Processor:Intel® Core i5 or AMD Phenom II  Memory:4 GB RAM Graphics:DirectX10(R) compatible card with 1024MB of memory Hard Drive:500 MB HD space
Zup! 4	591420	Casual, Indie	Puzzle, Casual, Indie, Fast-Paced, 2D, Short, Minimalist, Puzzle-Platformer, Point & Click, Singleplayer, Cute, Free to Play, Action, Racing, Side Scroller, Dungeon Crawler, Pixel Graphics, Anime, Survival, Psychological Horror	2734	90.3	2.4	1	1	555	100	2017-02-28	2017-02-28	2017-07-06	Quiet River	Quiet River	20-Feb-2017	NA	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Celeron 1800 MHzMemory: 256 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 15 MB available space 	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Core i3Memory: 512 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 20 MB available space
Canyon Capers	275490	Action, Casual, Indie	Indie, Casual, Action, Platformer, Retro, Arcade, 2D	1911	44.9	2.37	4	16	30	0	NA	NA	2016-02-08	CrazyMoo Games	Sunset Sugar Studios	25-Apr-2014	NA	OS: Microsoft® Windows® XP \/ Vista \/ 7 \/ Windows 8Processor: 1.4GHz or fasterMemory: 2 GB RAMGraphics: Graphics Card made within the last 4 years (Pixel Shader 3.0, Vertex Shader 3.0)DirectX: Version 9.0cStorage: 250 MB available spaceAdditional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller	NA
Crusader Kings II	203770	Free to Play, RPG, Simulation, Strategy	Grand Strategy, Strategy, Medieval, Historical, Political Sim, Simulation, RPG, Sandbox, Multiplayer, Politics, Diplomacy, Singleplayer, Replay Value, Real-Time with Pause, Moddable, Political, Free to Play, Character Customization, RTS, Great Soundtrack	70459	90.1	2.33	66	341	161	0	NA	NA	2016-01-29	Paradox Development Studio	Paradox Interactive	14-Feb-2012	NA	OS: Win7 64-bitProcessor: Intel® Pentium® IV 2.4 GHz or AMD 3500+Memory: 4 GB RAMHard Disk Space: 2 GBVideo Card: NVIDIA® GeForce 8800 or ATI Radeon® X1900, 512mb graphics memory required.DirectX®: 9.0cSound: Direct X-compatible sound cardAdditional: 3-button mouse and keyboard	NA
